time_s,segment,body,x_m,y_m,z_m
1.180000,0,RL_2,-0.34798181,0.19687046,0.07103394
1.180000,0,RR_2,-0.32591558,-0.24450266,0.09307951
1.200000,0,FL_2,-0.05335960,0.11314810,0.08589648
1.200000,0,FR_2,-0.12195954,-0.32423583,0.08192618
1.200000,0,RL_2,-0.35160267,0.20031109,0.07069223
1.200000,0,RR_2,-0.32741252,-0.24233589,0.09399130
1.220000,0,FL_2,-0.05039788,0.11099625,0.08683396
1.220000,0,FR_2,-0.12251404,-0.32670420,0.08226746
1.220000,0,RL_2,-0.35447174,0.20421813,0.07062405
1.220000,0,RR_2,-0.32798326,-0.24053873,0.09487535
1.240000,0,FL_2,-0.04759229,0.10931470,0.08758320
1.240000,0,FR_2,-0.12320259,-0.32959890,0.08273587
1.240000,0,RL_2,-0.35732076,0.20765226,0.07059993
1.240000,0,RR_2,-0.32884359,-0.23828673,0.09600896
1.260000,0,FL_2,-0.04370143,0.10782886,0.08820584
1.260000,0,FR_2,-0.12303208,-0.33365494,0.08313210
1.260000,0,RL_2,-0.36139092,0.21093939,0.07045131
1.260000,0,RR_2,-0.33091873,-0.23583950,0.09716497
1.280000,0,FL_2,-0.04035641,0.10625347,0.08896060
1.280000,0,FR_2,-0.12286611,-0.33613196,0.08340736
1.280000,0,RL_2,-0.36517808,0.21421322,0.07044125
1.280000,0,RR_2,-0.33190072,-0.23464893,0.09775899
1.300000,0,FL_2,-0.03721147,0.10473587,0.08973643
1.300000,0,FR_2,-0.12254639,-0.33896086,0.08372922
1.300000,0,RL_2,-0.36884758,0.21737638,0.07052180
1.300000,0,RR_2,-0.33340999,-0.23294048,0.09863359
1.320000,0,FL_2,-0.03319874,0.10351016,0.09033940
1.320000,0,FR_2,-0.12132883,-0.34262487,0.08396228
1.320000,0,RL_2,-0.37359115,0.22027616,0.07050105
1.320000,0,RR_2,-0.33583939,-0.23123562,0.09945510
1.340000,0,FL_2,-0.03026585,0.10194667,0.09123753
1.340000,0,FR_2,-0.12054121,-0.34454405,0.08406998
1.340000,0,RL_2,-0.37743399,0.22337377,0.07073484
1.340000,0,RR_2,-0.33676508,-0.23054461,0.09980892
1.360000,0,FL_2,-0.02778774,0.10047489,0.09212962
1.360000,0,FR_2,-0.12010442,-0.34694189,0.08441613
1.360000,0,RL_2,-0.38071719,0.22634304,0.07109233
1.360000,0,RR_2,-0.33795998,-0.22896911,0.10073027
1.380000,0,FL_2,-0.02452278,0.09960726,0.09262645
1.380000,0,FR_2,-0.11894096,-0.35005867,0.08472845
1.380000,0,RL_2,-0.38491270,0.22851184,0.07122420
1.380000,0,RR_2,-0.33996925,-0.22752711,0.10152572
1.400000,0,FL_2,-0.02055608,0.09835182,0.09340060
1.400000,0,FR_2,-0.11700104,-0.35353908,0.08494470
1.400000,0,RL_2,-0.38992804,0.23093285,0.07143034
1.400000,0,RR_2,-0.34256351,-0.22627310,0.10218345
1.420000,0,FL_2,-0.01730243,0.09721580,0.09413974
1.420000,0,FR_2,-0.11521219,-0.35553244,0.08488716
1.420000,0,RL_2,-0.39453313,0.23328489,0.07174830
1.420000,0,RR_2,-0.34413159,-0.22592902,0.10230705
1.440000,0,FL_2,-0.01417654,0.09589498,0.09504235
1.440000,0,FR_2,-0.11335959,-0.35812819,0.08500941
1.440000,0,RL_2,-0.39900059,0.23579262,0.07221600
1.440000,0,RR_2,-0.34622219,-0.22477543,0.10298379
1.460000,0,FL_2,-0.01090422,0.09534207,0.09541035
1.460000,0,FR_2,-0.11103785,-0.36031350,0.08490993
1.460000,0,RL_2,-0.40384325,0.23732388,0.07243720
1.460000,0,RR_2,-0.34829721,-0.22435296,0.10315360
1.480000,0,FL_2,-0.00798292,0.09401742,0.09636876
1.480000,0,FR_2,-0.10879122,-0.36261585,0.08491062
1.480000,0,RL_2,-0.40826520,0.23948662,0.07296810
1.480000,0,RR_2,-0.35033411,-0.22357149,0.10360496
1.500000,0,FL_2,-0.00485963,0.09341700,0.09680501
1.500000,0,FR_2,-0.10631581,-0.36476570,0.08483564
1.500000,0,RL_2,-0.41293269,0.24088815,0.07330852
1.500000,0,RR_2,-0.35244909,-0.22308066,0.10385114
1.520000,0,FL_2,-0.00213801,0.09192749,0.09793888
1.520000,0,FR_2,-0.10420568,-0.36703986,0.08495446
1.520000,0,RL_2,-0.41713655,0.24311817,0.07403288
1.520000,0,RR_2,-0.35424381,-0.22222225,0.10440960
1.540000,0,FL_2,0.00055011,0.09174495,0.09807908
1.540000,0,FR_2,-0.10200232,-0.36850542,0.08480395
1.540000,0,RL_2,-0.42136726,0.24390572,0.07429408
1.540000,0,RR_2,-0.35591543,-0.22210547,0.10441530
1.560000,0,FL_2,0.00371943,0.09108002,0.09860355
1.560000,0,FR_2,-0.09886023,-0.37079799,0.08470574
1.560000,0,RL_2,-0.42607480,0.24464878,0.07459848
1.560000,0,RR_2,-0.35877514,-0.22157249,0.10469723
1.580000,0,FL_2,0.00658722,0.08910450,0.10018959
1.580000,0,FR_2,-0.09647083,-0.37344921,0.08501092
1.580000,0,RL_2,-0.43046349,0.24725193,0.07569838
1.580000,0,RR_2,-0.36063284,-0.22057980,0.10540783
1.600000,0,FL_2,0.00929907,0.08878238,0.10046428
1.600000,0,FR_2,-0.09436797,-0.37482747,0.08495355
